DATE,DGS10
3/1/2023,4.01
3/2/2023,4.08
3/3/2023,3.97
3/6/2023,3.98
3/7/2023,3.97
3/8/2023,3.98
3/9/2023,3.93
3/10/2023,3.7
3/13/2023,3.55
3/14/2023,3.64
3/15/2023,3.51
3/16/2023,3.56
3/17/2023,3.39
3/20/2023,3.47
3/21/2023,3.59
3/22/2023,3.48
3/23/2023,3.38
3/24/2023,3.38
3/27/2023,3.53
3/28/2023,3.55
3/29/2023,3.57
3/30/2023,3.55
3/31/2023,3.48
4/3/2023,3.43
4/4/2023,3.35
4/5/2023,3.3
4/6/2023,3.3
4/7/2023,3.39
4/10/2023,3.41
4/11/2023,3.43
4/12/2023,3.41
4/13/2023,3.45
4/14/2023,3.52
4/17/2023,3.6
4/18/2023,3.58
4/19/2023,3.6
4/20/2023,3.54
4/21/2023,3.57
4/24/2023,3.52
4/25/2023,3.4
4/26/2023,3.43
4/27/2023,3.53
4/28/2023,3.44
5/1/2023,3.59
5/2/2023,3.44
5/3/2023,3.38
5/4/2023,3.37
5/5/2023,3.44
5/8/2023,3.52
5/9/2023,3.53
5/10/2023,3.43
5/11/2023,3.39
5/12/2023,3.46
5/15/2023,3.5
5/16/2023,3.54
5/17/2023,3.57
5/18/2023,3.65
5/19/2023,3.7
5/22/2023,3.72
5/23/2023,3.7
5/24/2023,3.73
5/25/2023,3.83
5/26/2023,3.8
5/29/2023,.
5/30/2023,3.69
5/31/2023,3.64
6/1/2023,3.61
6/2/2023,3.69
6/5/2023,3.69
6/6/2023,3.7
6/7/2023,3.79
6/8/2023,3.73
6/9/2023,3.75
6/12/2023,3.73
6/13/2023,3.84
6/14/2023,3.83
6/15/2023,3.72
6/16/2023,3.77
6/19/2023,.
6/20/2023,3.74
6/21/2023,3.72
6/22/2023,3.8
6/23/2023,3.74
6/26/2023,3.72
6/27/2023,3.77
6/28/2023,3.71
6/29/2023,3.85
6/30/2023,3.81
7/3/2023,3.86
7/4/2023,.
7/5/2023,3.95
7/6/2023,4.05
7/7/2023,4.06
