DATE,MEDDAYONMARUS
2020-03-01,57.0
2020-04-01,60.0
2020-05-01,68.0
2020-06-01,62.0
2020-07-01,53.0
2020-08-01,51.0
2020-09-01,50.0
2020-10-01,51.0
2020-11-01,54.0
2020-12-01,62.0
2021-01-01,66.0
2021-02-01,56.0
2021-03-01,45.0
2021-04-01,37.0
2021-05-01,35.0
2021-06-01,33.0
2021-07-01,35.0
2021-08-01,37.0
2021-09-01,40.0
2021-10-01,43.0
2021-11-01,46.0
2021-12-01,53.0
2022-01-01,59.0
2022-02-01,41.0
2022-03-01,34.0
2022-04-01,30.0
2022-05-01,30.0
2022-06-01,31.0
2022-07-01,34.0
2022-08-01,41.0
2022-09-01,47.0
2022-10-01,50.0
2022-11-01,55.0
2022-12-01,65.0
2023-01-01,72.0
2023-02-01,65.0
2023-03-01,52.0
2023-04-01,46.0
2023-05-01,43.0
2023-06-01,44.0
