DATE, Median_House_Price_Without_Inflation, Adjusted_Median_Home_Price
Thu Jan 15 1953,18080.26,206717.87
Sun Feb 15 1953,18080.26,207497.93
Sun Mar 15 1953,18080.26,206717.87
Wed Apr 15 1953,18122.25,207197.95
Fri May 15 1953,18143.25,206661.13
Mon Jun 15 1953,18143.25,205890.01
Wed Jul 15 1953,18185.25,206366.62
Sat Aug 15 1953,18206.25,205836.88
Tue Sep 15 1953,18227.25,206074.31
Thu Oct 15 1953,18227.25,205311.07
Sun Nov 15 1953,18206.25,205836.88
Tue Dec 15 1953,18206.25,205836.88
Fri Jan 15 1954,18206.25,205836.88
Mon Feb 15 1954,18227.25,206074.31
Mon Mar 15 1954,18227.25,206074.31
Thu Apr 15 1954,18206.25,206604.93
Sat May 15 1954,18206.25,205836.88
Tue Jun 15 1954,18227.25,206074.31
Thu Jul 15 1954,18290.25,206786.57
Sun Aug 15 1954,18332.24,207261.31
Wed Sep 15 1954,18374.24,208511.29
Fri Oct 15 1954,18353.24,208272.98
Mon Nov 15 1954,18353.24,208272.98
Wed Dec 15 1954,18374.24,209292.23
Sat Jan 15 1955,18395.24,209531.43
Tue Feb 15 1955,18332.24,208813.83
Tue Mar 15 1955,18290.25,208335.54
Fri Apr 15 1955,18185.25,207139.53
Sun May 15 1955,18185.25,207139.53
Wed Jun 15 1955,18269.25,208096.34
Fri Jul 15 1955,18332.24,208034.67
Mon Aug 15 1955,18437.24,209226.21
Thu Sep 15 1955,18479.24,208923.26
Sat Oct 15 1955,18458.24,208685.84
Tue Nov 15 1955,18416.24,208211
Thu Dec 15 1955,18374.24,208511.29
Sun Jan 15 1956,18332.24,208034.67
Wed Feb 15 1956,18269.25,207319.86
Thu Mar 15 1956,18206.25,206604.93
Sun Apr 15 1956,18122.25,204887.19
Tue May 15 1956,18143.25,204364.9
Fri Jun 15 1956,18332.24,204975.34
Sun Jul 15 1956,18479.24,205110.8
Wed Aug 15 1956,18605.23,207265.67
Sat Sep 15 1956,18584.23,206276.14
Mon Oct 15 1956,18563.24,205293.91
Thu Nov 15 1956,18521.24,204829.42
Sat Dec 15 1956,18542.24,204318.69
Tue Jan 15 1957,18605.23,205012.78
Fri Feb 15 1957,18773.23,206117.19
Fri Mar 15 1957,18773.23,205375.76
Mon Apr 15 1957,18899.22,206013.01
Wed May 15 1957,18962.22,205961.54
Sat Jun 15 1957,18899.22,204546.73
Mon Jul 15 1957,18899.22,203101.17
Thu Aug 15 1957,18899.22,203101.17
Sun Sep 15 1957,18962.22,203778.2
Tue Oct 15 1957,19067.21,204906.48
Fri Nov 15 1957,19067.21,204184.98
Sun Dec 15 1957,19046.22,203960.2
Wed Jan 15 1958,19067.21,202757.11
Sat Feb 15 1958,19067.21,202757.11
Sat Mar 15 1958,19235.21,203123.15
Tue Apr 15 1958,19277.21,202862.29
Thu May 15 1958,19319.2,203304.16
Sun Jun 15 1958,19214.21,202199.31
Tue Jul 15 1958,19214.21,201502.07
Fri Aug 15 1958,19193.21,201978.32
Mon Sep 15 1958,19130.21,201315.34
Wed Oct 15 1958,19109.21,201094.35
Sat Nov 15 1958,19151.21,200841.38
Mon Dec 15 1958,19172.21,201757.33
Thu Jan 15 1959,19130.21,200621.15
Sun Feb 15 1959,19109.21,201094.35
Sun Mar 15 1959,19109.21,201094.35
Wed Apr 15 1959,19109.21,200400.92
Fri May 15 1959,19193.21,201281.84
Mon Jun 15 1959,19193.21,200590.15
Wed Jul 15 1959,19130.21,199247.03
Sat Aug 15 1959,19109.21,199028.31
Tue Sep 15 1959,19151.21,198784.98
Thu Oct 15 1959,19256.21,199195.01
Sun Nov 15 1959,19277.21,199412.25
Tue Dec 15 1959,19193.21,198543.31
Fri Jan 15 1960,19256.21,199874.86
Mon Feb 15 1960,19256.21,199195.01
Tue Mar 15 1960,19256.21,199195.01
Fri Apr 15 1960,19256.21,198519.78
Sun May 15 1960,19214.21,198086.78
Wed Jun 15 1960,19172.21,196986.04
Fri Jul 15 1960,19172.21,196986.04
Mon Aug 15 1960,19256.21,197849.1
Thu Sep 15 1960,19340.2,198712.06
Sat Oct 15 1960,19403.2,198021.38
Tue Nov 15 1960,19340.2,197378.42
Thu Dec 15 1960,19340.2,197378.42
Sun Jan 15 1961,19340.2,197378.42
Wed Feb 15 1961,19298.2,196949.79
Wed Mar 15 1961,19340.2,197378.42
Sat Apr 15 1961,19256.21,196521.25
Mon May 15 1961,19319.2,197164.11
Thu Jun 15 1961,19298.2,196949.79
Sat Jul 15 1961,19361.2,196275.46
Tue Aug 15 1961,19382.2,197145.5
Fri Sep 15 1961,19382.2,196488.34
Sun Oct 15 1961,19382.2,196488.34
Wed Nov 15 1961,19487.2,197552.79
Fri Dec 15 1961,19529.2,197978.57
Mon Jan 15 1962,19550.19,198191.35
Thu Feb 15 1962,19508.2,197108.65
Thu Mar 15 1962,19508.2,197108.65
Sun Apr 15 1962,19508.2,196455.97
Tue May 15 1962,19613.19,197513.27
Fri Jun 15 1962,19634.19,197724.75
Sun Jul 15 1962,19634.19,197072.19
Wed Aug 15 1962,19634.19,197072.19
Sat Sep 15 1962,19613.19,196213.84
Mon Oct 15 1962,19571.19,195793.66
Thu Nov 15 1962,19592.19,196003.75
Sat Dec 15 1962,19592.19,196003.75
Tue Jan 15 1963,19613.19,196213.84
Fri Feb 15 1963,19613.19,196213.84
Fri Mar 15 1963,19718.19,196617.51
Mon Apr 15 1963,19802.18,197455
Wed May 15 1963,19760.19,197036.31
Sat Jun 15 1963,19760.19,196392.4
Mon Jul 15 1963,19802.18,196168.65
Thu Aug 15 1963,19802.18,196168.65
Sun Sep 15 1963,19802.18,196168.65
Tue Oct 15 1963,19802.18,195531.74
Fri Nov 15 1963,19928.18,196775.9
Sun Dec 15 1963,20012.18,196965.83
Wed Jan 15 1964,20012.18,196965.83
Sat Feb 15 1964,20075.17,197585.8
Sun Mar 15 1964,20075.17,197585.8
Wed Apr 15 1964,20012.18,196965.83
Fri May 15 1964,19928.18,196139.08
Mon Jun 15 1964,19991.18,196124.44
Wed Jul 15 1964,20033.17,195904.43
Sat Aug 15 1964,20096.17,197154.45
Tue Sep 15 1964,20159.17,197136.59
Thu Oct 15 1964,20201.17,197547.31
Sun Nov 15 1964,20264.17,197528.24
Tue Dec 15 1964,20264.17,197528.24
Fri Jan 15 1965,20390.16,198756.35
Mon Feb 15 1965,20390.16,198756.35
Mon Mar 15 1965,20327.16,197509.21
Thu Apr 15 1965,20285.16,196473.4
Sat May 15 1965,20264.17,196270.1
Tue Jun 15 1965,20264.17,195027.89
Thu Jul 15 1965,20306.16,195432.01
Sun Aug 15 1965,20306.16,195432.01
Wed Sep 15 1965,20306.16,195432.01
Fri Oct 15 1965,20432.16,196024.34
Mon Nov 15 1965,20537.15,197031.6
Wed Dec 15 1965,20600.15,197014.52
Sat Jan 15 1966,20663.15,197617.04
Tue Feb 15 1966,20621.15,195982.77
Tue Mar 15 1966,20621.15,195372.23
Fri Apr 15 1966,20642.15,194360.22
Sun May 15 1966,20684.15,194755.68
Wed Jun 15 1966,20726.15,194548.82
Fri Jul 15 1966,20747.15,194146.72
Mon Aug 15 1966,20684.15,192373.35
Thu Sep 15 1966,20684.15,192373.35
Sat Oct 15 1966,20768.14,191980.31
Tue Nov 15 1966,20768.14,191980.31
Thu Dec 15 1966,20852.14,192756.8
Sun Jan 15 1967,20852.14,192756.8
Wed Feb 15 1967,20852.14,192756.8
Wed Mar 15 1967,20705.15,190818.03
Sat Apr 15 1967,20789.14,191013.26
Mon May 15 1967,20915.14,191592.13
Thu Jun 15 1967,20957.14,191400.36
Sat Jul 15 1967,20957.14,190827.31
Tue Aug 15 1967,21083.13,191401.47
Fri Sep 15 1967,21083.13,190831.82
Sun Oct 15 1967,21167.13,191023.61
Wed Nov 15 1967,21230.13,191025.32
Fri Dec 15 1967,21335.12,191403.72
Mon Jan 15 1968,21314.12,190093.82
Thu Feb 15 1968,21419.12,190471.72
Fri Mar 15 1968,21377.12,189544.01
Mon Apr 15 1968,21377.12,188993.01
Wed May 15 1968,21314.12,187889.84
Sat Jun 15 1968,21482.11,188279.24
Mon Jul 15 1968,21566.11,187932.27
Thu Aug 15 1968,21629.11,187942.75
Sun Sep 15 1968,21629.11,187407.3
Tue Oct 15 1968,21776.1,187611.9
Fri Nov 15 1968,22028.09,189246.81
Sun Dec 15 1968,22217.08,190332.79
Wed Jan 15 1969,22322.08,190695.15
Sat Feb 15 1969,22427.08,190521.8
Sat Mar 15 1969,22616.07,190530.68
Tue Apr 15 1969,22637.07,189656.86
Thu May 15 1969,22742.06,190013.04
Sun Jun 15 1969,22805.06,189498.21
Tue Jul 15 1969,23015.05,190203.75
Fri Aug 15 1969,23162.05,190383.91
Mon Sep 15 1969,23330.04,191247.85
Wed Oct 15 1969,23519.03,191763.33
Sat Nov 15 1969,23624.03,191592.14
